"Sex","Cancer","Age","Case","PY"
1,14,10,3,209245
1,14,11,6,234433
1,14,12,3,275263
1,14,13,5,273099
1,14,14,4,197596
1,14,15,3,185939
1,14,16,3,164562
1,14,17,0,114258
1,14,18,0,75378
1,14,19,0,0
2,14,1,0,143800
2,14,2,0,155840
2,14,3,0,174035
2,14,4,0,170466
2,14,5,0,158539
2,14,6,0,177253
2,14,7,2,200856
2,14,8,1,227309
2,14,9,0,222142
2,14,10,0,225296
2,14,11,2,247852
2,14,12,2,286215
2,14,13,1,291631
2,14,14,0,238433
2,14,15,3,240090
2,14,16,2,232774
2,14,17,4,196259
2,14,18,2,213970
2,14,19,0,0
1,15,1,0,150117
1,15,2,0,162752
1,15,3,0,182820
1,15,4,0,175331
1,15,5,0,148497
1,15,6,0,167863
1,15,7,0,190927
1,15,8,0,214001
1,15,9,2,203302
1,15,10,5,209245
1,15,11,8,234433
1,15,12,15,275263
1,15,13,19,273099
1,15,14,29,197596
1,15,15,17,185939
1,15,16,23,164562
1,15,17,6,114258
1,15,18,4,75378
1,15,19,0,0
2,15,1,0,143800
2,15,2,0,155840
2,15,3,0,174035
2,15,4,0,170466
2,15,5,0,158539
2,15,6,0,177253
2,15,7,0,200856
2,15,8,0,227309
2,15,9,0,222142
2,15,10,1,225296
2,15,11,0,247852
2,15,12,1,286215
2,15,13,0,291631
2,15,14,2,238433
2,15,15,1,240090
2,15,16,0,232774
2,15,17,0,196259
2,15,18,0,213970
2,15,19,0,0
1,16,1,0,150117
1,16,2,0,162752
1,16,3,0,182820
1,16,4,0,175331
1,16,5,0,148497
1,16,6,0,167863
1,16,7,0,190927
1,16,8,0,214001
1,16,9,0,203302
1,16,10,2,209245
1,16,11,3,234433
1,16,12,11,275263
1,16,13,19,273099
1,16,14,12,197596
1,16,15,13,185939
1,16,16,8,164562
1,16,17,4,114258
1,16,18,3,75378
1,16,19,0,0
2,16,1,0,143800
2,16,2,0,155840
2,16,3,0,174035
2,16,4,0,170466
2,16,5,0,158539
2,16,6,0,177253
2,16,7,0,200856
2,16,8,0,227309
2,16,9,0,222142
2,16,10,0,225296
2,16,11,0,247852
2,16,12,0,286215
2,16,13,2,291631
2,16,14,2,238433
2,16,15,0,240090
2,16,16,0,232774
2,16,17,2,196259
2,16,18,0,213970
2,16,19,0,0
1,17,1,0,150117
1,17,2,0,162752
1,17,3,0,182820
1,17,4,0,175331
1,17,5,0,148497
1,17,6,0,167863
1,17,7,0,190927
1,17,8,1,214001
1,17,9,0,203302
1,17,10,0,209245
1,17,11,1,234433
1,17,12,0,275263
1,17,13,1,273099
1,17,14,0,197596
1,17,15,1,185939
1,17,16,0,164562
1,17,17,1,114258
1,17,18,1,75378
1,17,19,0,0
2,17,1,0,143800
2,17,2,0,155840
2,17,3,0,174035
2,17,4,0,170466
2,17,5,0,158539
2,17,6,0,177253
2,17,7,0,200856
2,17,8,0,227309
2,17,9,0,222142
2,17,10,0,225296
2,17,11,0,247852
2,17,12,1,286215
2,17,13,0,291631
2,17,14,0,238433
2,17,15,0,240090
2,17,16,0,232774
2,17,17,0,196259
2,17,18,2,213970
2,17,19,0,0
1,18,1,0,150117
1,18,2,0,162752
1,18,3,0,182820
1,18,4,0,175331
1,18,5,0,148497
1,18,6,0,167863
1,18,7,1,190927
1,18,8,1,214001
1,18,9,5,203302
1,18,10,14,209245
1,18,11,47,234433
1,18,12,130,275263
1,18,13,161,273099
1,18,14,177,197596
1,18,15,165,185939
1,18,16,131,164562
1,18,17,61,114258
1,18,18,36,75378
1,18,19,0,0
2,18,1,0,143800
2,18,2,0,155840
2,18,3,0,174035
2,18,4,0,170466
2,18,5,0,158539
2,18,6,0,177253
2,18,7,0,200856
2,18,8,1,227309
2,18,9,2,222142
2,18,10,6,225296
2,18,11,7,247852
2,18,12,23,286215
2,18,13,30,291631
2,18,14,27,238433
2,18,15,13,240090
2,18,16,23,232774
2,18,17,18,196259
2,18,18,30,213970
2,18,19,0,0
1,19,1,0,150117
1,19,2,0,162752
1,19,3,0,182820
1,19,4,0,175331
1,19,5,0,148497
1,19,6,0,167863
1,19,7,0,190927
1,19,8,1,214001
1,19,9,3,203302
1,19,10,12,209245
1,19,11,39,234433
1,19,12,117,275263
1,19,13,143,273099
1,19,14,159,197596
1,19,15,143,185939
1,19,16,121,164562
1,19,17,50,114258
1,19,18,21,75378
1,19,19,0,0
2,19,1,0,143800
2,19,2,0,155840
2,19,3,0,174035
2,19,4,0,170466
2,19,5,0,158539
2,19,6,0,177253
2,19,7,0,200856
2,19,8,1,227309
2,19,9,2,222142
2,19,10,6,225296
2,19,11,6,247852
2,19,12,23,286215
2,19,13,26,291631
2,19,14,25,238433
2,19,15,12,240090
2,19,16,18,232774
2,19,17,14,196259
2,19,18,15,213970
2,19,19,0,0
1,20,1,0,150117
1,20,2,0,162752
1,20,3,0,182820
1,20,4,0,175331
1,20,5,0,148497
1,20,6,0,167863
1,20,7,1,190927
1,20,8,0,214001
1,20,9,2,203302
1,20,10,2,209245
1,20,11,3,234433
1,20,12,9,275263
1,20,13,9,273099
1,20,14,5,197596
1,20,15,10,185939
1,20,16,2,164562
1,20,17,1,114258
1,20,18,3,75378
1,20,19,0,0
2,20,1,0,143800
2,20,2,0,155840
2,20,3,0,174035
2,20,4,0,170466
2,20,5,0,158539
2,20,6,0,177253
2,20,7,0,200856
2,20,8,0,227309
2,20,9,0,222142
2,20,10,0,225296
2,20,11,1,247852
2,20,12,0,286215
2,20,13,1,291631
2,20,14,2,238433
2,20,15,0,240090
2,20,16,2,232774
2,20,17,1,196259
2,20,18,3,213970
2,20,19,0,0
1,21,1,0,150117
1,21,2,0,162752
1,21,3,0,182820
1,21,4,0,175331
1,21,5,0,148497
1,21,6,0,167863
1,21,7,0,190927
1,21,8,0,214001
1,21,9,0,203302
1,21,10,0,209245
1,21,11,2,234433
1,21,12,2,275263
1,21,13,1,273099
1,21,14,6,197596
1,21,15,4,185939
1,21,16,0,164562
1,21,17,1,114258
1,21,18,0,75378
1,21,19,0,0
2,21,1,0,143800
2,21,2,0,155840
2,21,3,0,174035
2,21,4,0,170466
2,21,5,0,158539
2,21,6,0,177253
2,21,7,0,200856
2,21,8,0,227309
2,21,9,0,222142
2,21,10,0,225296
2,21,11,0,247852
2,21,12,0,286215
2,21,13,0,291631
2,21,14,0,238433
2,21,15,0,240090
2,21,16,1,232774
2,21,17,0,196259
2,21,18,0,213970
2,21,19,0,0
1,22,1,0,150117
1,22,2,0,162752
1,22,3,0,182820
1,22,4,0,175331
1,22,5,0,148497
1,22,6,0,167863
1,22,7,0,190927
1,22,8,0,214001
1,22,9,0,203302
1,22,10,0,209245
1,22,11,1,234433
1,22,12,0,275263
1,22,13,3,273099
1,22,14,1,197596
1,22,15,1,185939
1,22,16,0,164562
1,22,17,2,114258
1,22,18,1,75378
1,22,19,0,0
2,22,1,0,143800
2,22,2,0,155840
2,22,3,0,174035
2,22,4,0,170466
2,22,5,0,158539
2,22,6,0,177253
2,22,7,0,200856
2,22,8,0,227309
2,22,9,0,222142
2,22,10,0,225296
2,22,11,0,247852
2,22,12,0,286215
2,22,13,1,291631
2,22,14,0,238433
2,22,15,0,240090
