"Sex","Cancer","Age","Case","PY"
1,16,7,5,11225177
1,16,8,23,11262082
1,16,9,58,11043758
1,16,10,123,10067169
1,16,11,167,7231868
1,16,12,145,5541349
1,16,13,160,4722669
1,16,14,119,3753695
1,16,15,102,2329646
1,16,16,36,1257889
1,16,17,20,654160
1,16,18,6,307038
1,16,19,0,0
2,16,1,0,6122426
2,16,2,1,7790860
2,16,3,0,8179255
2,16,4,0,7590641
2,16,5,1,9127892
2,16,6,0,9662183
2,16,7,2,10790890
2,16,8,2,10859221
2,16,9,11,10542705
2,16,10,29,9778195
2,16,11,24,7160051
2,16,12,23,5654049
2,16,13,25,5247731
2,16,14,16,4648408
2,16,15,12,3522098
2,16,16,17,2382194
2,16,17,10,1422943
2,16,18,2,920211
2,16,19,0,0
1,17,1,0,6655812
1,17,2,0,8598995
1,17,3,0,9263734
1,17,4,0,8375867
1,17,5,0,9705747
1,17,6,0,10095552
1,17,7,1,11225177
1,17,8,3,11262082
1,17,9,3,11043758
1,17,10,22,10067169
1,17,11,29,7231868
1,17,12,47,5541349
1,17,13,74,4722669
1,17,14,63,3753695
1,17,15,53,2329646
1,17,16,25,1257889
1,17,17,15,654160
1,17,18,5,307038
1,17,19,0,0
2,17,1,0,6122426
2,17,2,1,7790860
2,17,3,0,8179255
2,17,4,0,7590641
2,17,5,0,9127892
2,17,6,1,9662183
2,17,7,0,10790890
2,17,8,3,10859221
2,17,9,3,10542705
2,17,10,2,9778195
2,17,11,4,7160051
2,17,12,3,5654049
2,17,13,2,5247731
2,17,14,5,4648408
2,17,15,8,3522098
2,17,16,2,2382194
2,17,17,5,1422943
2,17,18,1,920211
2,17,19,0,0
1,18,1,0,6655812
1,18,2,1,8598995
1,18,3,8,9263734
1,18,4,16,8375867
1,18,5,20,9705747
1,18,6,21,10095552
1,18,7,43,11225177
1,18,8,80,11262082
1,18,9,150,11043758
1,18,10,199,10067169
1,18,11,174,7231868
1,18,12,170,5541349
1,18,13,159,4722669
1,18,14,120,3753695
1,18,15,99,2329646
1,18,16,42,1257889
1,18,17,10,654160
1,18,18,3,307038
1,18,19,0,0
2,18,1,0,6122426
2,18,2,0,7790860
2,18,3,4,8179255
2,18,4,7,7590641
2,18,5,8,9127892
2,18,6,12,9662183
2,18,7,24,10790890
2,18,8,34,10859221
2,18,9,49,10542705
2,18,10,69,9778195
2,18,11,56,7160051
2,18,12,46,5654049
2,18,13,47,5247731
2,18,14,47,4648408
2,18,15,24,3522098
2,18,16,22,2382194
2,18,17,10,1422943
2,18,18,7,920211
2,18,19,0,0
1,19,1,0,6655812
1,19,2,0,8598995
1,19,3,0,9263734
1,19,4,0,8375867
1,19,5,0,9705747
1,19,6,0,10095552
1,19,7,0,11225177
1,19,8,1,11262082
1,19,9,4,11043758
1,19,10,30,10067169
1,19,11,41,7231868
1,19,12,60,5541349
1,19,13,105,4722669
1,19,14,121,3753695
1,19,15,93,2329646
1,19,16,44,1257889
1,19,17,22,654160
1,19,18,4,307038
1,19,19,0,0
2,19,1,0,6122426
2,19,2,0,7790860
2,19,3,0,8179255
2,19,4,0,7590641
2,19,5,0,9127892
2,19,6,0,9662183
2,19,7,0,10790890
2,19,8,0,10859221
2,19,9,0,10542705
2,19,10,1,9778195
2,19,11,1,7160051
2,19,12,4,5654049
