"Sex","Cancer","Age","Case","PY"
2,28,7,0,250817
2,28,8,0,212823
2,28,9,0,186976
2,28,10,0,174028
2,28,11,0,192445
2,28,12,0,237592
2,28,13,0,193253
2,28,14,0,151545
2,28,15,0,134277
2,28,16,0,110566
2,28,17,0,81596
2,28,18,0,84117
2,28,19,0,0
1,29,1,0,143260
1,29,2,0,146182
1,29,3,0,142839
1,29,4,0,157238
1,29,5,0,163393
1,29,6,0,194106
1,29,7,0,240588
1,29,8,0,207694
1,29,9,0,184759
1,29,10,0,170386
1,29,11,0,189268
1,29,12,3,232000
1,29,13,0,182011
1,29,14,1,139713
1,29,15,3,109310
1,29,16,0,80619
1,29,17,0,45317
1,29,18,0,31662
1,29,19,0,0
2,29,1,0,136692
2,29,2,0,139552
2,29,3,0,135388
2,29,4,0,149483
2,29,5,0,171368
2,29,6,0,204692
2,29,7,0,250817
2,29,8,0,212823
2,29,9,0,186976
2,29,10,0,174028
2,29,11,0,192445
2,29,12,0,237592
2,29,13,0,193253
2,29,14,0,151545
2,29,15,0,134277
2,29,16,0,110566
2,29,17,1,81596
2,29,18,0,84117
2,29,19,0,0
1,30,1,0,143260
1,30,2,0,146182
1,30,3,0,142839
1,30,4,0,157238
1,30,5,0,163393
1,30,6,0,194106
1,30,7,0,240588
1,30,8,0,207694
1,30,9,0,184759
1,30,10,2,170386
1,30,11,0,189268
1,30,12,4,232000
1,30,13,2,182011
1,30,14,2,139713
1,30,15,3,109310
1,30,16,8,80619
1,30,17,5,45317
1,30,18,6,31662
1,30,19,0,0
2,30,1,0,136692
2,30,2,0,139552
2,30,3,0,135388
2,30,4,0,149483
2,30,5,0,171368
2,30,6,0,204692
2,30,7,0,250817
2,30,8,0,212823
2,30,9,0,186976
2,30,10,0,174028
2,30,11,0,192445
2,30,12,0,237592
2,30,13,1,193253
2,30,14,1,151545
2,30,15,1,134277
2,30,16,2,110566
2,30,17,2,81596
2,30,18,3,84117
2,30,19,0,0
1,31,1,0,143260
1,31,2,0,146182
1,31,3,0,142839
1,31,4,0,157238
1,31,5,0,163393
1,31,6,0,194106
1,31,7,0,240588
1,31,8,0,207694
1,31,9,0,184759
1,31,10,0,170386
1,31,11,2,189268
1,31,12,8,232000
1,31,13,8,182011
1,31,14,4,139713
1,31,15,10,109310
1,31,16,5,80619
1,31,17,4,45317
1,31,18,1,31662
1,31,19,0,0
2,31,1,0,136692
2,31,2,0,139552
2,31,3,0,135388
2,31,4,0,149483
2,31,5,0,171368
2,31,6,0,204692
2,31,7,0,250817
2,31,8,0,212823
2,31,9,0,186976
2,31,10,0,174028
2,31,11,2,192445
2,31,12,3,237592
2,31,13,1,193253
2,31,14,3,151545
2,31,15,3,134277
2,31,16,0,110566
2,31,17,3,81596
2,31,18,4,84117
2,31,19,0,0
1,32,1,0,143260
1,32,2,0,146182
1,32,3,0,142839
1,32,4,0,157238
1,32,5,0,163393
1,32,6,0,194106
1,32,7,0,240588
1,32,8,1,207694
1,32,9,2,184759
1,32,10,12,170386
1,32,11,22,189268
1,32,12,80,232000
1,32,13,72,182011
1,32,14,67,139713
1,32,15,52,109310
1,32,16,47,80619
1,32,17,23,45317
1,32,18,20,31662
1,32,19,0,0
2,32,1,0,136692
2,32,2,0,139552
2,32,3,0,135388
2,32,4,0,149483
2,32,5,0,171368
2,32,6,0,204692
2,32,7,0,250817
2,32,8,0,212823
2,32,9,0,186976
2,32,10,1,174028
2,32,11,5,192445
2,32,12,4,237592
2,32,13,11,193253
2,32,14,6,151545
2,32,15,18,134277
2,32,16,9,110566
2,32,17,12,81596
2,32,18,9,84117
2,32,19,0,0
1,33,1,0,143260
1,33,2,0,146182
1,33,3,0,142839
1,33,4,0,157238
1,33,5,0,163393
1,33,6,0,194106
1,33,7,0,240588
1,33,8,0,207694
1,33,9,0,184759
1,33,10,2,170386
1,33,11,4,189268
